movie_name,category,movie_rate,description,country,date,duration,movie_link
Grieve,"Horror, Drama",4.3,"A man engulfed in the suffocating grip of loss finds his life fragmented. Struggling to navigate through his emotional fog, his mother suggests a retreat to her cabin – but an ancient entity that thrives on sorrow has taken root. The New England winter punctuates this love letter to creeping horror and slow cinema.",United States of America,2023,68min,https://goku.sx/movie/watch-grieve-110821
Chestnut,"Romance, Drama",5.2,A recent graduate becomes entangled in a relationship with a man and a woman during the summer after college.,United States of America,2024,87min,https://goku.sx/movie/watch-chestnut-110818
A Family Affair,"Romance, Comedy",5.4,The only thing worse than being the assistant to a high-maintenance movie star who doesn't take you seriously? Finding out he's smitten with your mom.,United States of America,2024,113min,https://goku.sx/movie/watch-a-family-affair-110767
The Second Woman,"Romance, Thriller, Drama",5.2,"With a story about a stage actor who goes on a destructive journey when playing a role to die for, one thinks writer-director Carol Lai had Black Swan in mind. It might be easier to figure out how this movie came together if you look at the Chinese title, Romance Riddle. It was more of a guessing game than an overly romantic movie about twins who fall in love with a man who decides it's fine to string both women along, until he realizes that this means double trouble.","China, Hong Kong",2012,102min,https://goku.sx/movie/watch-the-second-woman-65234
Brave: Gunjyou Senki,"Action, History, Mystery, Fantasy",5.2,"Students, including Aoi Nishino, take part in class and sports activity at a prestigious high school. Aoi Nishino is a member of the school's archery club. He practices archery studiously and doesn't socialize much with the other students. His childhood friend Haruka Seno is also a member of the archery club, but she worries about Aoi Nishino. One day, thunder strikes the school grounds. After that, the ordinary lives of the students changes drastically. Many samurai descend on the school grounds. It appears that the entire school has traveled back in time to the Sengoku period. Making things worse, they realize that they are in the time right before the Battle of Okehazama takes place.",Japan,2021,0min,https://goku.sx/movie/watch-brave-gunjyou-senki-110788
Legend of Mermaid: Human Love,"Drama, Romance",?,"A series of murders occurred in Yunyin Town, causing panic among the people. They decided to hold a grand ceremony in honor of the River God to pray for peace. Physician Tao Ran was assigned to investigate the serial murders. While solving the cases with his apprentice, Tao Ran accidentally saved a little fox named Hua Zhi, who witnessed one of the crimes and also made friends with the heavy-drinking wandering sorcerer, Mr. Xiao, and together, they joined forces to crack the case. In the thick of it, an embroidery workshop caught their eye, and the truth slowly came to light. As it turned out, the bizarre happenings were all tied to the grand River God ceremony... (Source: YoYo Movie Official Channel) Edit Translation",China,2024,76min,https://goku.sx/movie/watch-legend-of-mermaid-human-love-110785
"Love Me, Love Me Not","Drama, Romance",6.3,"Akari is a first grade high school student. She is positive, realistic and outgoing with romance. Akari though is not good at expressing her feelings. She become friends with Yuna, who attends the same high school. Yuna has a hard time talking with strangers and she is passive with romance. She has never been in love, but she dreams of having a romance like those drawn in manga. Even though Akari and Yuna have totally different personalities, they are now good friends. Yuna gets attracted to Rio who is Akari’s stepbrother and attends the same high school. Akari becomes attracted to Kazuomi, who is Yuna’s childhood friend and attends the same high school.",Japan,2020,124min,https://goku.sx/movie/watch-love-me-love-me-not-110782
"Yayoi, March: 30 Years That I Loved You",Romance,6.3,"Story depicts the life and love of Yayoi Yuki (Haru) and Taro Yamada (Ryo Narita) over a 30 year period. As high school students, Yayoi Yuki and Taro Yamada deal with their friend Sakura Watanabe (Hana Sugisaki) passing away from an illness. Yayoi Yuki and Taro Yamada have feelings for each other, but they hide those feelings and live different lives. While they live their own lives, they go through meaningful events like marriage, having children, divorce, and losing a family member in a disaster. Throughout all of this, Yayoi Yuki and Taro Yamada are always there for each other.",Japan,2020,110min,https://goku.sx/movie/watch-yayoi-march-30-years-that-i-loved-you-110779
The Watchers,"Horror, Mystery, Thriller",5.8,"When 28-year-old artist Mina finds shelter after getting stranded in an expansive, untouched forest in western Ireland, she unknowingly becomes trapped alongside three strangers that are watched and stalked by mysterious creatures each night.",United States of America,2024,102min,https://goku.sx/movie/watch-the-watchers-109876
Two Scoops of Italy,"Romance, Drama",6.2,"When an American chef travels to a quant village in Italy for inspiration, she falls in love with the flavors, culture, gelato, and the Italian gentleman who helps her discover it all.",United States of America,2024,84min,https://goku.sx/movie/watch-two-scoops-of-italy-110611
GG: Good Game,"Drama, Family",6,"Mourning the death of his beloved lola, an aspiring pro-gamer is forced to live with his estranged mother and lead his underdog esports team in secret.",N/A,2024,101min,https://goku.sx/movie/watch-gg-good-game-110695
Hard Home,Thriller,3.9,"A grieving mother lures her daughter's killer into her smart home in order to take revenge, becoming involved in a distorted game where life and death are at stake.",United States of America,2024,83min,https://goku.sx/movie/watch-hard-home-110698
Daddy's Deadly Secret,"Thriller, TV Movie",6.1,"The disappearance of a little girl in a small town forces a husband and wife to unearth a web of lies and deceit, ultimately questioning if the child ever existed at all.",Canada,2024,86min,https://goku.sx/movie/watch-daddys-deadly-secret-110593
Danger in the Dorm,"Drama, Crime, Mystery",5.5,"After the murder of her childhood best friend and fellow classmate, Kathleen must catch a killer who's preying on young girls around campus.",United States of America,2024,86min,https://goku.sx/movie/watch-danger-in-the-dorm-110596
I Am: Celine Dion,"Documentary, Music",8.1,"A raw and honest behind-the-scenes look at the iconic superstar's struggle with a life-altering illness. Serving as a love letter to her fans, this inspirational documentary highlights the music that has guided her life while also showcasing the resilience of the human spirit.","Canada, United States of America",2024,103min,https://goku.sx/movie/watch-i-am-celine-dion-110608
Ezra,"Comedy, Drama",?,"Max Bernal is a stand-up comedian living with his father while struggling to co-parent his autistic son Ezra with his ex-wife. When forced to confront difficult decisions about their son's future, Max and Ezra embark on a cross-country road trip that has a transcendent impact on both their lives.",United States of America,2024,100min,https://goku.sx/movie/watch-ezra-109663
Furiosa: A Mad Max Saga,"Science Fiction, Action, Adventure",?,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.","Australia, United States of America",2024,148min,https://goku.sx/movie/watch-furiosa-a-mad-max-saga-109111
The Infallibles,"Comedy, Action",4.2,"When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",France,2024,99min,https://goku.sx/movie/watch-the-infallibles-110395
Trigger Warning,"Action, Thriller",4.6,"A skilled Special Forces commando (Jessica Alba) takes ownership of her father's bar after he suddenly dies, and soon finds herself at odds with a violent gang running rampant in her hometown.",United States of America,2024,106min,https://goku.sx/movie/watch-trigger-warning-110422
Down the Rabbit Hole,"Comedy, Drama",5.4,"Raised in opulence and culture, 10 year old Tochtli's lavish life contrasts with the darkness that seeps in from his father's criminal activities.",Mexico,2024,103min,https://goku.sx/movie/watch-down-the-rabbit-hole-110303
Honeymoonish,"Romance, Comedy",5.1,Two newlyweds on their honeymoon discover that they are different in almost every way — but can these opposites attract?,N/A,2024,100min,https://goku.sx/movie/watch-honeymoonish-110315
Golden Kamuy,"Action, Adventure, Comedy",6.3,"On the Hokkaido frontier, a war veteran and Ainu girl race against misfits and military renegades to find treasure mapped out on tattooed outlaws.",Japan,2024,129min,https://goku.sx/movie/watch-golden-kamuy-110309
Handling the Undead,"Drama, Horror, Mystery",5.5,"On an abnormally hot summer day in Oslo, a strange electric field surrounds the city as a collective migraine spreads across town and the newly deceased awake from death.","Norway, Sweden",2024,98min,https://goku.sx/movie/watch-handling-the-undead-110312
IF,"Comedy, Fantasy, Family, Animation",6.7,A girl discovers she can see everyone's imaginary friends and embarks on a magical adventure to reconnect forgotten IFs with their kids.,United States of America,2024,104min,https://goku.sx/movie/watch-if-109195
Ultraman: Rising,"Animation, Science Fiction, Family, Action",7,"With Tokyo under attack from kaiju, Ultraman discovers his greatest challenge isn’t fighting giant monsters - it’s raising one.","Japan, United States of America",2024,121min,https://goku.sx/movie/watch-ultraman-rising-110176
The Beast in the Jungle,Drama,5.4,"The club as a place of endless (im)possibilities. A man and a woman wait here together for 25 years for a mysterious, all-changing event to occur. From 1979 to 2004: from disco to techno. A love story and an obsession.","Austria, Belgium, France",2023,103min,https://goku.sx/movie/watch-the-beast-in-the-jungle-110086
The Primevals,"Science Fiction, Fantasy",5.5,"Deep in the Himalayas, a group of sherpas kills a gigantic humanoid creature. Convinced that it is the legendary Yeti, Dr. Claire Collier organizes an expedition with her former student Matt Connor and hunter Rondo Montana, among others, to search for more specimens. But what awaits them is something that none of them could have imagined. A colorful fusion of real image and stop-motion that is reminiscent of fantastic films from the 1980s.",United States of America,2023,91min,https://goku.sx/movie/watch-the-primevals-110089
Lost Soulz,Drama,5.7,"A rapper leaves everything behind and embarks on an odyssey of self discovery, music, and friendship in the heart of Texas.",United States of America,2024,95min,https://goku.sx/movie/watch-lost-soulz-110092
Winnie-the-Pooh: Blood and Honey 2,"Horror, Thriller, Mystery",5.8,"Winnie the Pooh, Piglet, Owl, and Tigger decide to take the fight to the town of Ashdown, home of Christopher Robin, leaving a bloody trail of death and mayhem in their wake.",United Kingdom,2024,100min,https://goku.sx/movie/watch-winnie-the-pooh-blood-and-honey-2-107617
Before the World Set on Fire,"Drama, Mystery",3.2,"An unidentifiable virus breaks out at a college, forcing professor Anya Davis to conduct her seminar online. After a tragedy happens in the class, a battle of ethics begins between Anya and the institution.",United States of America,2023,70min,https://goku.sx/movie/watch-before-the-world-set-on-fire-110053
Unsung Hero,"Drama, Music",7.1,"When David Smallbone's successful music company collapses, he moves his family from Australia to the United States in search of a brighter future. With nothing more than their six children, their suitcases, and their love of music, David and his pregnant wife Helen set out to rebuild their lives from the ground up. Based on a remarkable true story, a mum's faith stands against all odds; and inspires her husband and children to hold onto theirs.",United States of America,2024,113min,https://goku.sx/movie/watch-unsung-hero-110044
Wild Eyed and Wicked,"Horror, Fantasy, Drama",3.5,"Lily Pierce is sick of being haunted. She decides to reconnect with her estranged father, a disgraced history professor, and learn how to draw upon a time of steel and blade when armor-clad knights rode out and dueled their monsters to the death.",United States of America,2024,99min,https://goku.sx/movie/watch-wild-eyed-and-wicked-110041
The Great Lillian Hall,Drama,7.5,"As beloved Broadway star Lillian Hall pours her heart, soul, and time into preparing for her next big role, she finds herself blindsided by confusion and forgetfulness. Battling against all odds to make it to opening night, while holding on to her fading memories and identity, she must navigate a tumultuous emotional journey – balancing her desire for the spotlight and the stark demands of the real world.",United States of America,2024,111min,https://goku.sx/movie/watch-the-great-lillian-hall-110017
Some Birds,"Comedy, Drama",7,The uplifting story of an unusual friendship between an elderly man trying to get out of a nursing home and an impulsive teenage girl on social work who decides to help him.,Hungary,2023,94min,https://goku.sx/movie/watch-some-birds-109882
Tipline Mysteries: Dial 1 for Murder,"Mystery, Drama, TV Movie",6.8,"Maddie Moore is a concierge at a hotel in Detroit, Michigan who moonlights at Detriot Free Press in their tipline department. Most nights, calls run anywhere from alien sightings to lost cats. One night, however Maddie receives a cryptic call warning for a jewelry heist.",United States of America,2024,84min,https://goku.sx/movie/watch-tipline-mysteries-dial-1-for-murder-109879
The Finale,"Horror, Thriller",3.7,"Sagan Riley is a triple threat who has her sights set on Broadway. When she’s accepted to the legendary Stage Left Theater Camp, she thinks her dreams are within reach. Sagan spends her days singing, dancing, acting, and dreaming of love. But soon the Stage Left instructors and Sagan’s fellow campers start dying off one by one. Now, Sagan will have to survive rehearsal and discover the killer, if she’s ever gonna make it.",United States of America,2023,132min,https://goku.sx/movie/watch-the-finale-109873
Ship of the Damned,"Action, Horror",2.7,"After an abandoned 500 year-old ship appears off the coast of a small town, Historian Elena and the local coastguard go to investigate. They discover it is not abandoned and the ship's cursed crew have horrific plans for the intruders.",United Kingdom,2024,85min,https://goku.sx/movie/watch-ship-of-the-damned-109870
Lumberjack the Monster,"Drama, Thriller, Crime",5.9,"After Akira Ninomiya miraculously survives a brutal attack by an unknown assailant wearing a ""monster mask,"" he becomes fixated on finding the attacker and getting revenge.",Japan,2023,119min,https://goku.sx/movie/watch-lumberjack-the-monster-109858
Jackdaw,"Action, Drama, Crime, Thriller",5.1,"A former motocross champion and army veteran, now caring for his younger brother. Broke, he agrees to do an open water pick up of a mysterious illegal package in the North Sea. A resulting double cross and his brother’s disappearance set him and his old bike on a violent nocturnal odyssey through England’s northern rust belt.",United Kingdom,2024,97min,https://goku.sx/movie/watch-jackdaw-109852
Another Lottery Ticket,Comedy,6.9,"Sile gets out of jail and has the idea to get rich by mining cryptocurrency. Together with Dinel and Pompiliu he meets Ionuţ, the smartest guy in town, who helps them mine six million euros worth of crypto which they store on an USB drive. Dinel is responsible of keeping the drive safe, but he manages to lose it pretty quick, so the three of them start on a quest to recover the lost drive.",Romania,2023,93min,https://goku.sx/movie/watch-another-lottery-ticket-109849
Crocodylus: Mating Season,"Horror, Comedy, Fantasy, Science Fiction",3.2,"Bored Private Investigator, Harry Bates, goes on a wild adventure when an alluring new client, Allie Glades, hires him to find her brother that just might be their sleepy small Florida town’s mythical monster, “The Crocodylus” in this comedy-horror that is like Ace Ventura mixed with Monty Python.",United States of America,2024,86min,https://goku.sx/movie/watch-crocodylus-mating-season-109843
Cheaters,Drama,6.8,Hot and sexy Angeline Aril star in this story that will titillate your imagination about two strangers who has a strong sexual connection only to find out that they’re both in a relationship. How can they sustain a relationship that started with sex and cheating?,N/A,2024,51min,https://goku.sx/movie/watch-cheaters-109840
